sd_mult,sl_mult,tp1_mult,tp2_mult,tp3_mult,rsi_bull,rsi_bear,piv_left,piv_right,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.5,1.5,1.0,2.5,3.5,40.0,50.0,3,2,33,1.6541592776186853,0.6060606060606061,0.21481857875586646,20,1.4787569465598118,0.6,0.30806761007391986,3765.9345795466925,-3022.287477026589,14.6
0.5,1.5,0.5,2.5,3.0,40.0,50.0,3,2,35,1.7067832804368586,0.5428571428571428,0.19755903038895523,20,1.4759083648259592,0.6,0.2832536186455121,3236.2768484303583,-3022.287477026589,14.2
0.5,1.5,1.5,2.5,4.0,40.0,50.0,3,2,33,1.8242163876622766,0.5757575757575758,0.2748194810721659,19,1.4737218420902833,0.5789473684210527,0.31389686953020535,3996.352635529471,-3022.287477026589,16.105263157894736
0.5,1.5,1.0,2.5,3.0,40.0,50.0,3,2,34,1.5989978075935156,0.5882352941176471,0.19018196173584426,20,1.47038444496052,0.6,0.3053810925477167,3700.075914692532,-3022.287477026589,14.2
1.0,2.0,0.5,2.5,4.0,30.0,70.0,3,2,47,1.625447768885887,0.5319148936170213,0.15550768352155997,24,1.4631084587330005,0.5833333333333334,0.18308331856316706,4521.041907638324,-4014.7833027021666,24.041666666666668
0.5,1.5,1.5,2.0,3.5,30.0,50.0,3,2,36,1.8484978317794871,0.6111111111111112,0.2834991080833593,20,1.452987527179027,0.6,0.2958836326875487,3821.4364153360493,-3022.287477026589,15.1
0.5,1.5,1.5,2.0,3.0,30.0,50.0,3,2,37,1.786087785805903,0.5945945945945946,0.2581029231822356,20,1.4442773923886845,0.6,0.2931971151613454,3747.9570714839483,-3022.287477026589,14.7
0.5,1.5,0.5,2.5,4.0,30.0,50.0,3,2,36,1.699274723451997,0.5555555555555556,0.2021957196337546,19,1.4442060743195744,0.5789473684210527,0.24865218306151446,3020.69461371686,-3022.287477026589,16.31578947368421
0.5,1.5,1.0,2.5,4.0,30.0,50.0,3,2,35,1.626969634497787,0.6,0.20278094882534617,19,1.4363124511393333,0.5789473684210527,0.26492671699366177,3432.063302766332,-3022.287477026589,16.31578947368421
1.0,2.0,0.5,2.5,3.0,30.0,70.0,3,2,50,1.4324363010071777,0.5,0.11949536432402035,26,1.4768011953541074,0.5769230769230769,0.17403536360092786,5012.022894255191,-4014.7833027021666,22.73076923076923
1.0,2.0,0.5,2.5,3.5,30.0,70.0,3,2,50,1.6519273641228045,0.54,0.1591394904251978,24,1.4177729398363457,0.5833333333333334,0.16869131061076795,4078.459231871491,-4014.7833027021666,23.916666666666668
0.5,1.5,1.5,2.0,3.5,40.0,50.0,3,2,34,2.0361336631951654,0.6176470588235294,0.3169126647095685,20,1.4177571022233553,0.6,0.2957386109305976,3524.229934416411,-3022.287477026589,14.6
0.5,1.5,1.5,2.0,3.0,40.0,50.0,3,2,35,1.9563279640907005,0.6,0.2891105961962032,20,1.4099503116626455,0.6,0.2930520934043944,3458.3712695622507,-3022.287477026589,14.2
