min_gap_atr,sl_atr_mult,rr_target,min_body_ratio,min_range_atr,max_ifvg_age,clean_break_buffer_atr,touch_tol_atr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.75,0.75,1.5,0.5,0.8,60,0.1,0.0,63,2.1598489413596593,0.5873015873015873,0.4620864429412626,31,2.4731524590936953,0.6129032258064516,0.48140389966388103,4842.493367275885,-1092.8104160314324,2.7096774193548385
0.75,0.75,1.5,0.5,0.6,60,0.1,0.0,63,2.1598489413596593,0.5873015873015873,0.4620864429412626,31,2.4731524590936953,0.6129032258064516,0.48140389966388103,4842.493367275885,-1092.8104160314324,2.7096774193548385
0.75,0.75,1.5,0.3,0.4,120,0.1,0.0,62,2.1067404423770903,0.5806451612903226,0.45959163822205623,31,2.159602591069096,0.5483870967741935,0.40778713264313027,3877.2144284449532,-1385.5976642864262,2.2903225806451615
0.75,0.75,1.5,0.3,0.8,120,0.1,0.0,62,2.1067404423770903,0.5806451612903226,0.45959163822205623,31,2.159602591069096,0.5483870967741935,0.40778713264313027,3877.2144284449532,-1385.5976642864262,2.2903225806451615
0.75,0.75,1.5,0.3,0.6,120,0.1,0.0,62,2.1067404423770903,0.5806451612903226,0.45959163822205623,31,2.159602591069096,0.5483870967741935,0.40778713264313027,3877.2144284449532,-1385.5976642864262,2.2903225806451615
0.75,0.75,1.5,0.3,0.4,60,0.05,0.05,68,2.006917632198449,0.5588235294117647,0.4004342594755385,33,2.322463140409164,0.5757575757575758,0.46648075002197037,4707.802482958832,-1087.7114875833286,2.515151515151515
0.75,0.75,1.5,0.3,0.8,60,0.05,0.05,68,2.006917632198449,0.5588235294117647,0.4004342594755385,33,2.322463140409164,0.5757575757575758,0.46648075002197037,4707.802482958832,-1087.7114875833286,2.515151515151515
0.75,0.75,1.5,0.3,0.6,60,0.05,0.05,68,2.006917632198449,0.5588235294117647,0.4004342594755385,33,2.322463140409164,0.5757575757575758,0.46648075002197037,4707.802482958832,-1087.7114875833286,2.515151515151515
0.75,0.75,1.5,0.3,0.4,90,0.05,0.05,65,1.9492867603891009,0.5538461538461539,0.3794999119673929,32,2.152385268658227,0.5625,0.407658420851535,4155.9739344250775,-1087.7114875833286,2.375
0.75,0.75,1.5,0.3,0.8,90,0.05,0.05,65,1.9492867603891009,0.5538461538461539,0.3794999119673929,32,2.152385268658227,0.5625,0.407658420851535,4155.9739344250775,-1087.7114875833286,2.375
0.75,0.75,1.5,0.3,0.6,90,0.05,0.05,65,1.9492867603891009,0.5538461538461539,0.3794999119673929,32,2.152385268658227,0.5625,0.407658420851535,4155.9739344250775,-1087.7114875833286,2.375
0.75,0.75,1.5,0.3,0.6,60,0.05,0.0,67,1.934800693256506,0.5522388059701493,0.38258413635522603,33,2.151746433296819,0.5757575757575758,0.4254544489598339,4398.858595695754,-1087.7114875833286,2.4242424242424243
0.75,0.75,1.5,0.3,0.8,60,0.05,0.0,67,1.934800693256506,0.5522388059701493,0.38258413635522603,33,2.151746433296819,0.5757575757575758,0.4254544489598339,4398.858595695754,-1087.7114875833286,2.4242424242424243
0.75,0.75,1.5,0.3,0.4,60,0.05,0.0,67,1.934800693256506,0.5522388059701493,0.38258413635522603,33,2.151746433296819,0.5757575757575758,0.4254544489598339,4398.858595695754,-1087.7114875833286,2.4242424242424243
0.75,0.75,1.5,0.5,0.6,120,0.1,0.0,59,1.9273197723289723,0.559322033898305,0.406465617172787,30,2.3587060186088817,0.5666666666666667,0.44871466811367694,4159.452479379965,-1385.5976642864262,2.3666666666666667
0.75,0.75,1.5,0.5,0.4,120,0.1,0.0,59,1.9273197723289723,0.559322033898305,0.406465617172787,30,2.3587060186088817,0.5666666666666667,0.44871466811367694,4159.452479379965,-1385.5976642864262,2.3666666666666667
0.75,0.75,1.5,0.5,0.8,120,0.1,0.0,59,1.9273197723289723,0.559322033898305,0.406465617172787,30,2.3587060186088817,0.5666666666666667,0.44871466811367694,4159.452479379965,-1385.5976642864262,2.3666666666666667
0.75,0.75,1.5,0.3,0.6,90,0.05,0.0,65,1.9227822163580992,0.5538461538461539,0.3830952300915115,32,2.137396465657226,0.5625,0.4069894240323504,4118.802784363965,-1087.7114875833286,2.34375
0.75,0.75,1.5,0.3,0.4,90,0.05,0.0,65,1.9227822163580992,0.5538461538461539,0.3830952300915115,32,2.137396465657226,0.5625,0.4069894240323504,4118.802784363965,-1087.7114875833286,2.34375
0.75,0.75,1.5,0.3,0.8,90,0.05,0.0,65,1.9227822163580992,0.5538461538461539,0.3830952300915115,32,2.137396465657226,0.5625,0.4069894240323504,4118.802784363965,-1087.7114875833286,2.34375
0.75,0.75,1.5,0.7,0.8,60,0.1,0.05,56,1.916135395755071,0.5535714285714286,0.3900890296248588,29,2.418585208088403,0.5862068965517241,0.4552494148900675,4295.901860486418,-1092.8104160314324,2.8275862068965516
0.75,0.75,1.5,0.7,0.6,60,0.1,0.05,56,1.916135395755071,0.5535714285714286,0.3900890296248588,29,2.418585208088403,0.5862068965517241,0.4552494148900675,4295.901860486418,-1092.8104160314324,2.8275862068965516
0.75,0.75,1.5,0.7,0.4,60,0.1,0.05,56,1.916135395755071,0.5535714285714286,0.3900890296248588,29,2.418585208088403,0.5862068965517241,0.4552494148900675,4295.901860486418,-1092.8104160314324,2.8275862068965516
0.75,0.75,1.5,0.7,0.4,90,0.1,0.0,55,1.9138512003071648,0.5636363636363636,0.4152120386022318,28,2.228579974647845,0.5714285714285714,0.4227478601165692,3751.2240847815847,-1092.8104160314324,2.4285714285714284
0.75,0.75,1.5,0.7,0.6,90,0.1,0.0,55,1.9138512003071648,0.5636363636363636,0.4152120386022318,28,2.228579974647845,0.5714285714285714,0.4227478601165692,3751.2240847815847,-1092.8104160314324,2.4285714285714284
0.75,0.75,1.5,0.7,0.8,90,0.1,0.0,55,1.9138512003071648,0.5636363636363636,0.4152120386022318,28,2.228579974647845,0.5714285714285714,0.4227478601165692,3751.2240847815847,-1092.8104160314324,2.4285714285714284
0.75,0.75,1.5,0.3,0.6,120,0.05,0.05,66,1.9012910106627108,0.5454545454545454,0.370352209053268,31,2.3351757954105397,0.5806451612903226,0.45668060894476314,4438.272857300355,-1380.4987358383223,2.4516129032258065
0.75,0.75,1.5,0.3,0.4,120,0.05,0.05,66,1.9012910106627108,0.5454545454545454,0.370352209053268,31,2.3351757954105397,0.5806451612903226,0.45668060894476314,4438.272857300355,-1380.4987358383223,2.4516129032258065
0.75,0.75,1.5,0.3,0.8,120,0.05,0.05,66,1.9012910106627108,0.5454545454545454,0.370352209053268,31,2.3351757954105397,0.5806451612903226,0.45668060894476314,4438.272857300355,-1380.4987358383223,2.4516129032258065
