tf,src,at_mult,tp_r_mult,sl_buffer_atr,train_n,train_pf,train_exp,test_n,test_pf,test_exp,piv_atr_factor,piv_period,diy_swing_length,diy_box_width
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,3.0,0.05,471,0.8957903533118032,-0.08989216494174891,200,0.6156979241279655,-0.32082452962906166,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,3.0,0.1,434,0.9450698527977542,-0.029441095382354066,201,0.6483198183150506,-0.28365960094623643,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,3.0,0.2,390,1.0374245146121388,0.04702808949587318,157,0.7759809676561068,-0.17979117286483604,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,3.0,0.3,366,1.0119961142898855,0.004387378010007884,153,0.7699456137360677,-0.18895560730940553,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,0.5,0.05,834,0.5208156552828925,-0.20452413454257093,372,0.3962870559019512,-0.3065273436774014,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,0.5,0.1,798,0.5836431336909014,-0.17059793870965242,354,0.4363663524025435,-0.2701742352195745,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,0.5,0.2,724,0.6901810149118067,-0.11352692076848114,310,0.49433999206036583,-0.2298157407423653,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,0.5,0.3,657,0.8053420491049359,-0.0672944484531062,271,0.6020021169726267,-0.171263340213462,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,1.0,0.05,631,0.6989401826953048,-0.17015506537599745,273,0.5440525340685952,-0.29233217940481604,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,1.0,0.1,590,0.7554039022331179,-0.13951892592580506,252,0.5884085945502894,-0.25596241312703927,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,1.0,0.2,536,0.894210412869458,-0.05311671291149059,219,0.5965716313683184,-0.25194310343851367,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,1.0,0.3,462,0.9392442445694104,-0.03358360982134607,193,0.5940787986679342,-0.25076080426308806,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,1.5,0.05,536,0.802245450809889,-0.13775700420211692,246,0.6036413259943384,-0.29168184920401535,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,1.5,0.1,499,0.879830528324282,-0.08979093077942904,228,0.6095541161058434,-0.28120936996004864,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,1.5,0.2,444,0.9827477394885284,-0.008574002354480779,191,0.6236819156676289,-0.280528394050314,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,1.5,0.3,403,0.9899561697897882,-0.010161804584131191,178,0.628551096142935,-0.2789847374780143,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,2.0,0.05,468,0.8814894353148659,-0.09883998756810906,229,0.6479270018366462,-0.2827785255459741,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,2.0,0.1,443,0.9385462279431047,-0.060152046611618215,209,0.7149959555680552,-0.2110951790032998,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,2.0,0.2,403,1.0483039426665148,0.034407034934018636,174,0.6825756131981024,-0.25861026723636477,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,2.0,0.3,359,1.0853370480259819,0.053006580661745496,165,0.7118509085863263,-0.22630002432294974,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,2.5,0.05,435,0.955613984839482,-0.04816839876778246,199,0.7492511167819237,-0.19545886074226057,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,2.5,0.1,410,1.0695642540014092,0.028480962935484994,190,0.7946323630306151,-0.1433156032748959,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.25,2.5,0.2,368,1.1358175120079086,0.09329913515203822,158,0.7532373212588103,-0.2051790098460893,,,,
